Brand_names,Display_tech,Prices,sound,os,screen_size,Manufacture,Warenty
PHILIPS,QLED,"₹22,999",30,Google TV,43,2025,1
Coocaa,LED,"₹14,199",20,Google TV,43,2024,1
Infinix,QLED,"₹16,999",40,Google TV,43,2024,1
realme,QLED,"₹27,999",40,Google TV,55,2024,12
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
skylive,LED,"₹13,349",20,Based TV,43,2024,12
realme,QLED,"₹29,499",40,Google TV,55,2025,12
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
SONY,LED,"₹57,990",20,Google TV,55,2025,1
TCL,QLED,"₹25,990",24,Google TV,50,2025,1
Thomson,LED,"₹9,499",30,Android TV,32,2023,1
Uniboom,LED,"₹7,590",30,Android TV,32,2025,1
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Samsung,LED,"₹25,490",20,Tizen TV,43,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
XIAOMI,LED,"₹31,999",30,Fire TV,55,2025,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Thomson,LED,"₹13,999",40,Linux TV,43,2023,1
Infinix,QLED,"₹15,299",40,Google TV,43,2024,1
SONY,LED,"₹66,990",20,Google TV,65,2024,1
SONY,LED,"₹77,990",20,Google TV,65,2025,1
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
SONY,LED,"₹1,12,990",20,Google TV,75,2025,1
Acer,LED,"₹17,999",30,Google TV,43,2024,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
Acer,QLED,"₹30,999",80,Google TV,50,2024,1
TCL,QLED,"₹50,990",35,Google TV,65,2025,2
LG,LED,"₹39,990",20,AI TV,55,2025,Warranty
realme,QLED,"₹38,699",40,Google TV,65,2025,12
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
TCL,QLED,"₹57,490",35,Google TV,65,2025,2
Thomson,QLED,"₹35,999",40,Google TV,65,2022,1
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Samsung,LED,"₹25,490",20,Tizen TV,43,2025,2
TCL,QLED,"₹35,990",35,Google TV,55,2025,2
Coocaa,LED,"₹17,999",20,Coolita TV,50,2025,1
Thomson,QLED,"₹19,999",50,Google TV,43,2025,1
Thomson,QLED,"₹25,499",40,Google TV,55,2022,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
InnoQ,LED,"₹11,490",30,Android TV,40,2024,1
TCL,LED,"₹27,990",24,Google TV,55,2024,2
